齐里切斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=62305,184cm,75kg,罗马尼亚,1989-11-14,后卫
凯文.马尔库特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=83340,178cm,75kg,法国,1991-07-31,
卡利杜·库利巴利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=86129,195cm,89kg,法国,1991-06-20,
马克西莫维奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=87542,193cm,82kg,塞尔维亚,1991-11-25,
古拉姆,http://soccer.stats.qq.com/player.htm?type=yijia&t1=88746,186cm,80kg,法国,1991-02-01,后卫
马里奥·鲁伊,http://soccer.stats.qq.com/player.htm?type=yijia&t1=101019,170cm,67kg,葡萄牙,1991-05-27,
艾奥瑟德·希萨伊,http://soccer.stats.qq.com/player.htm?type=yijia&t1=107363,182cm,75kg,阿尔巴尼亚,1994-02-02,后卫
S.卢帕托,http://soccer.stats.qq.com/player.htm?type=yijia&t1=168618,191cm,75kg,意大利,1996-09-06,
奥雷斯蒂斯.卡尔内齐斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=48332,189cm,79kg,希腊,1985-07-11,门将
大卫.奥斯皮纳,http://soccer.stats.qq.com/player.htm?type=yijia&t1=48844,183cm,80kg,哥伦比亚,1988-08-31,门将
路易吉·塞佩,http://soccer.stats.qq.com/player.htm?type=yijia&t1=59326,191cm,90kg,意大利,1991-05-08,
阿莱克西斯.梅雷特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=171366,190cm,82kg,意大利,1997-03-22,
伊利西奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=55712,190cm,79kg,斯洛文尼亚,1988-01-29,
亚历桑德罗.戈麦斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=55776,165cm,68kg,阿根廷,1988-02-15,
马科-达莱桑德罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=60074,173cm,71kg,意大利,1991-02-17,
克里斯坦特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=109511,186cm,80kg,意大利,1995-03-03,
马里奥·帕沙利奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=164570,189cm,78kg,克罗地亚,1995-02-09,中场
凯西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=173181,183cm,74kg,,1996-12-19,
卢卡·瓦尔扎尼亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=180655,182cm,76kg,意大利,1996-03-05,
杜万·萨帕塔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=103086,186cm,80kg,哥伦比亚,1991-04-01,
安德烈斯-科内柳斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=114517,193cm,91kg,丹麦,1993-03-16,
佩塔尼亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=147886,190cm,85kg,意大利,1995-06-30,
图米内利奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=209354,180cm,76kg,,1998-11-06,
安德烈亚.马谢洛,http://soccer.stats.qq.com/player.htm?type=yijia&t1=17985,185cm,75kg,意大利,1986-02-05,
拉斐尔·托洛伊,http://soccer.stats.qq.com/player.htm?type=yijia&t1=61118,185cm,75kg,巴西,1990-10-10,
苏阿格,http://soccer.stats.qq.com/player.htm?type=yijia&t1=89483,192cm,92kg,意大利,1992-11-26,
何塞·路易斯·帕洛米诺,http://soccer.stats.qq.com/player.htm?type=yijia&t1=89861,190cm,78kg,阿根廷,1990-01-05,
贝拉特.吉姆西蒂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=96645,190cm,83kg,瑞士,1993-02-19,后卫
阿尔米西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=101020,177cm,73kg,意大利,1993-01-11,
费德里科·马蒂埃罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=141563,182cm,73kg,意大利,1995-07-14,
曼奇尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=198374,190cm,77kg,意大利,1996-04-17,
马克.斯特里诺,http://soccer.stats.qq.com/player.htm?type=yijia&t1=55083,192cm,87kg,意大利,1992-05-10,
埃特里特·贝里沙,http://soccer.stats.qq.com/player.htm?type=yijia&t1=61824,191cm,92kg,阿尔巴尼亚,1989-03-10,门将
皮耶路易吉·格里尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=156683,188cm,80kg,意大利,1995-03-18,
博尔哈.巴列茹,http://soccer.stats.qq.com/player.htm?type=yijia&t1=27794,175cm,73kg,西班牙,1985-01-12,
拉查.纳英戈兰,http://soccer.stats.qq.com/player.htm?type=yijia&t1=38833,176cm,65kg,比利时,1988-05-04,中场
伊万.佩里西奇 ,http://soccer.stats.qq.com/player.htm?type=yijia&t1=45034,186cm,80kg,克罗地亚,1989-02-02,中场
安东尼奥.坎德雷瓦,http://soccer.stats.qq.com/player.htm?type=yijia&t1=45156,180cm,70kg,意大利,1987-02-28,中场
马塞洛.布罗佐维奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=94425,181cm,68kg,Croatia,1992-11-16,中场
马里奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=109788,179cm,73kg,葡萄牙,1993-01-19,中场
维奇诺,http://soccer.stats.qq.com/player.htm?type=yijia&t1=148215,187cm,81kg,乌拉圭,1991-08-24,中场
帕拉齐,http://soccer.stats.qq.com/player.htm?type=yijia&t1=161928,175cm,70kg,意大利,1996-02-24,
罗伯托·加利亚尔迪尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=171152,190cm,77kg,意大利,1994-04-07,
隆戈,http://soccer.stats.qq.com/player.htm?type=yijia&t1=81045,185cm,81kg,意大利,1992-01-12,
伊卡尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=106109,181cm,75kg,阿根廷,1993-02-19,
凯塔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=156708,181cm,80kg,西班牙,1995-03-08,
雷伊-马纳伊,http://soccer.stats.qq.com/player.htm?type=yijia&t1=194827,182cm,76kg,,1997-02-24,
安德烈亚.拉诺基亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=39167,195cm,81kg,意大利,1988-02-16,后卫
达尼罗·德安布罗西奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=39826,180cm,75kg,意大利,1988-09-09,
夸沃.阿萨莫阿,http://soccer.stats.qq.com/player.htm?type=yijia&t1=49485,173cm,75kg,加纳,1988-12-09,
克里斯蒂安·安萨尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=50937,181cm,76kg,阿根廷,1986-09-20,
米兰达 ,http://soccer.stats.qq.com/player.htm?type=yijia&t1=52496,186cm,78kg,巴西,1984-09-07,后卫
索尔斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=58822,172cm,67kg,葡萄牙,1991-08-31,后卫
西梅·弗尔萨里科,http://soccer.stats.qq.com/player.htm?type=yijia&t1=68353,181cm,76kg,克罗地亚,1992-01-10,后卫
斯特凡·德维基,http://soccer.stats.qq.com/player.htm?type=yijia&t1=78140,189cm,78kg,荷兰,1992-02-05,后卫
社科里拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=112065,187cm,80kg,,1995-02-11,后卫
费德里克·迪·马尔科,http://soccer.stats.qq.com/player.htm?type=yijia&t1=161919,174cm,75kg,意大利,1997-11-10,
托马索.伯尔尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=14216,185cm,80kg,意大利,1983-03-06,
达尼埃勒.帕德利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=18377,191cm,82kg,意大利,1985-10-25,
萨米尔.汉达诺维奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=18383,193cm,92kg,斯洛文尼亚,1984-07-14,
拉杜,http://soccer.stats.qq.com/player.htm?type=yijia&t1=215531,188cm,70kg,,1997-05-28,
里卡多.蒙托利沃,http://soccer.stats.qq.com/player.htm?type=yijia&t1=18229,182cm,79kg,意大利,1985-01-18,中场
卢卡斯 比利亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=39462,178cm,64kg,Argentina,1986-01-30,中场
贾马科-博纳文图拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=49417,180cm,75kg,意大利,1989-08-22,中场
安德烈亚.伯托拉西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=60073,179cm,75kg,意大利,1991-01-11,
哈坎·恰尔汉奥卢,http://soccer.stats.qq.com/player.htm?type=yijia&t1=111732,178cm,76kg,土耳其,1994-02-08,中场
哈利洛维奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=134316,169cm,69kg,Croatia,1996-06-18,中场
拉克萨特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=148025,178cm,68kg,乌拉圭,1993-02-07,中场
巴卡约科,http://soccer.stats.qq.com/player.htm?type=yijia&t1=169102,185cm,77kg,法国,1994-08-17,
凯西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=173181,183cm,74kg,,1996-12-19,
何塞·毛里,http://soccer.stats.qq.com/player.htm?type=yijia&t1=175696,169cm,63kg,意大利,1996-05-16,
塞缪尔·卡斯蒂里奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=193449,182cm,67kg,西班牙,1995-01-18,
法比奥.博里尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=77454,180cm,73kg,意大利,1991-03-29,
苏索,http://soccer.stats.qq.com/player.htm?type=yijia&t1=103953,177cm,70kg,西班牙,1993-11-19,
安德烈-席尔瓦,http://soccer.stats.qq.com/player.htm?type=yijia&t1=165811,184cm,84kg,,1995-11-06,
皮亚特克,http://soccer.stats.qq.com/player.htm?type=yijia&t1=185065,183cm,77kg,,1995-07-01,
伊格纳济奥.阿巴特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=18547,180cm,73kg,意大利,1986-11-12,后卫
克里斯蒂安.萨帕塔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=27300,187cm,82kg,哥伦比亚,1986-09-30,后卫
马特奥.穆萨基奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=57527,180cm,73kg,阿根廷,1990-08-26,
伊万.斯特里尼奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=68592,186cm,78kg,克罗地亚,1987-07-17,后卫
里卡多·罗德里格斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=69305,181cm,78kg,Switzerland,1992-08-25,后卫
阿莱西奥-罗马尼奥利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=126551,185cm,75kg,意大利,1995-01-12,
戈麦斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=152745,185cm,85kg,,1993-05-06,后卫
戴维德-卡拉布里亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=161918,177cm,70kg,意大利,1996-12-06,
斯特凡·西米奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=169331,187cm,79kg,捷克,1995-01-20,
马蒂亚·卡尔达拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=174651,190cm,75kg,意大利,1994-05-05,
阿库纳,http://soccer.stats.qq.com/player.htm?type=yijia&t1=195893,cm,kg,,1998-05-07,
何塞.雷纳,http://soccer.stats.qq.com/player.htm?type=yijia&t1=8432,188cm,92kg,西班牙,1982-08-31,门将
安东尼奥·多纳鲁马,http://soccer.stats.qq.com/player.htm?type=yijia&t1=83984,192cm,96kg,意大利,1990-07-07,
丹尼勒.德罗西,http://soccer.stats.qq.com/player.htm?type=yijia&t1=10625,184cm,83kg,意大利,1983-07-24,中场
史蒂芬.恩宗齐,http://soccer.stats.qq.com/player.htm?type=yijia&t1=49323,196cm,75kg,法国,1988-12-15,
哈维尔.帕斯托雷,http://soccer.stats.qq.com/player.htm?type=yijia&t1=54782,187cm,78kg,阿根廷,1989-06-20,中场
马克西姆.戈纳隆斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=59963,187cm,76kg,法国,1989-03-10,
安特.科里奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=109100,176cm,59kg,克罗地亚,1997-04-14,中场
克里斯坦特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=109511,186cm,80kg,意大利,1995-03-03,
佩莱格里尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=184441,186cm,77kg,意大利,1996-06-19,
埃丁.哲科,http://soccer.stats.qq.com/player.htm?type=yijia&t1=42544,193cm,80kg,波黑,1986-03-17,前锋
迭戈.佩罗蒂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=55340,179cm,70kg,阿根廷,1988-07-26,
斯蒂芬-艾尔沙拉维,http://soccer.stats.qq.com/player.htm?type=yijia&t1=58928,178cm,72kg,意大利,1992-10-27,前锋
格雷瓜尔·德福雷尔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=95215,180cm,79kg,法国,1991-06-17,
威德,http://soccer.stats.qq.com/player.htm?type=yijia&t1=153867,168cm,64kg,意大利,1996-06-20,
庞塞,http://soccer.stats.qq.com/player.htm?type=yijia&t1=172845,178cm,70kg,,1997-03-29,
帕特里克希克,http://soccer.stats.qq.com/player.htm?type=yijia&t1=196680,186cm,73kg,,1996-01-24,前锋
乌马尔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=196878,192cm,75kg,,1997-02-02,
索勒瑞,http://soccer.stats.qq.com/player.htm?type=yijia&t1=198329,192cm,75kg,,1997-10-19,
费代里科.法济奥,http://soccer.stats.qq.com/player.htm?type=yijia&t1=40792,195cm,85kg,阿根廷,1987-03-17,
亚历山大.科拉罗夫,http://soccer.stats.qq.com/player.htm?type=yijia&t1=42593,187cm,81kg,塞尔维亚,1985-11-10,
伊万.马卡诺,http://soccer.stats.qq.com/player.htm?type=yijia&t1=42874,189cm,77kg,西班牙,1987-06-23,
戴维.桑顿,http://soccer.stats.qq.com/player.htm?type=yijia&t1=55604,187cm,77kg,意大利,1991-01-02,
科斯塔斯·马诺拉斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=66806,189cm,83kg,Greece,1991-06-14,后卫
杰苏斯,http://soccer.stats.qq.com/player.htm?type=yijia&t1=91990,185cm,83kg,巴西,1991-06-10,
阿莱桑德罗-弗洛伦齐,http://soccer.stats.qq.com/player.htm?type=yijia&t1=97617,173cm,67kg,意大利,1991-03-11,中场
里克·卡斯多普,http://soccer.stats.qq.com/player.htm?type=yijia&t1=186665,184cm,80kg,荷兰,1995-02-11,
安东尼奥.米兰特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=12730,193cm,79kg,意大利,1983-07-08,
奥尔森,http://soccer.stats.qq.com/player.htm?type=yijia&t1=111782,196cm,86kg,丹麦,1990-01-08,门将
托马斯.林孔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=50933,177cm,76kg,委内瑞拉,1988-01-13,中场
丹尼尔·巴塞利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=102195,182cm,70kg,意大利,1992-03-12,
梅特,http://soccer.stats.qq.com/player.htm?type=yijia&t1=103119,187cm,80kg,法国,1994-03-17,
伊拉古,http://soccer.stats.qq.com/player.htm?type=yijia&t1=51960,174cm,69kg,西班牙,1990-01-04,
阿德姆.利亚吉奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=56945,182cm,74kg,塞尔维亚,1991-09-29,
西蒙尼·扎扎,http://soccer.stats.qq.com/player.htm?type=yijia&t1=60270,186cm,84kg,意大利,1991-06-25,前锋
姆巴耶-尼昂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=96764,184cm,75kg,塞内加尔,1994-12-19,
安德烈·贝罗蒂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=111722,181cm,72kg,意大利,1993-12-20,
埃德拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=197983,176cm,70kg,意大利,1997-01-09,
埃米利亚诺.莫雷蒂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=7823,185cm,80kg,意大利,1981-06-11,
洛伦佐.德西尔维斯特里,http://soccer.stats.qq.com/player.htm?type=yijia&t1=21125,186cm,84kg,意大利,1988-05-23,后卫
克里斯蒂安·安萨尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=50937,181cm,76kg,阿根廷,1986-09-20,
尼古拉斯.恩库鲁,http://soccer.stats.qq.com/player.htm?type=yijia&t1=52775,180cm,77kg,喀麦隆,1990-03-27,后卫
达尼洛.阿维拉尔,http://soccer.stats.qq.com/player.htm?type=yijia&t1=84619,185cm,76kg,巴西,1989-06-09,
科菲·吉迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=102766,184cm,71kg,法国,1992-11-30,
阿曼德·伊佐,http://soccer.stats.qq.com/player.htm?type=yijia&t1=105119,183cm,78kg,意大利,1992-03-02,
奥拉-艾纳,http://soccer.stats.qq.com/player.htm?type=yijia&t1=159506,182cm,82kg,England,1996-10-08,
安东尼奥.罗萨蒂,http://soccer.stats.qq.com/player.htm?type=yijia&t1=17192,195cm,88kg,意大利,1983-06-26,
萨尔瓦托雷.希里古,http://soccer.stats.qq.com/player.htm?type=yijia&t1=21155,192cm,80kg,意大利,1987-01-12,门将
伊查索,http://soccer.stats.qq.com/player.htm?type=yijia&t1=151869,187cm,81kg,乌拉圭,1992-01-26,
迪詹纳罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=40001,181cm,72kg,意大利,1988-06-16,
卢卡斯.佩济尼,http://soccer.stats.qq.com/player.htm?type=yijia&t1=43191,179cm,74kg,巴西,1987-01-09,
马科.帕洛罗,http://soccer.stats.qq.com/player.htm?type=yijia&t1=51221,184cm,75kg,意大利,1985-01-25,中场
卢利奇,http://soccer.stats.qq.com/player.htm?type=yijia&t1=52049,183cm,75kg,Bosnia and Herzegovina,1986-01-18,中场
巴德利,http://soccer.stats.qq.com/player.htm?type=yijia&t1=56999,186cm,76kg,克罗地亚,1989-02-25,中场
瓦隆.贝里沙,http://soccer.stats.qq.com/player.htm?type=yijia&t1=62067,176cm,70kg,挪威,1993-02-07,
罗穆洛,http://soccer.stats.qq.com/player.htm?type=yijia&t1=72738,178cm,72kg,巴西,1987-05-22,中场
路易斯 阿尔贝托,http://soccer.stats.qq.com/player.htm?type=yijia&t1=82451,182cm,70kg,Spain,1992-09-28,
华金·科里亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=116195,189cm,75kg,阿根廷,1994-08-13,
达尼洛·卡塔尔迪,http://soccer.stats.qq.com/player.htm?type=yijia&t1=130963,180cm,70kg,意大利,1994-08-06,
约瑟夫·米纳拉,http://soccer.stats.qq.com/player.htm?type=yijia&t1=181074,184cm,80kg,喀麦隆,1996-08-24,
穆利西亚,http://soccer.stats.qq.com/player.htm?type=yijia&t1=198160,185cm,78kg,意大利,1996-08-09,
